Text,Annotate,LSTM_framing,GRU_framing,LR_framing,SVM_framing
 Independent monitoring group OCTA Research on Saturday said public advisories should still be issued even after the World Health Organization (WHO) declared that COVID-19 no longer represents a global health emergency.,9.0,9.0,9.0,9.0,9.0
" ""We should still be giving advisories sa mga kababayan natin (to our countrymen),"" OCTA Research fellow Dr. Guido David said in an interview on Super Radyo dzBB.",11.0,9.0,11.0,11.0,13.0
" The WHO issued the declaration on Friday, marking a major step towards the end of the pandemic that has killed more than 6.9 million people, disrupted the global economy and  Reuters reported.",9.0,1.0,1.0,1.0,1.0
" ""Sinasabi ng WHO, they make it clear na 'yung global state of emergency 'yung nagtapos. COVID is still here and nasa individual countries na 'yung management ng pandemic... Hindi na pandemic siguro dahil walang state of emergency, pero 'yung management ng disease...,"" David said.",9.0,9.0,9.0,11.0,9.0
" (The WHO said they are making it clear that it is the global state of emergency that ended. COVID is still here and it is up to individual countries to manage the pandemic. It's maybe not a pandemic anymore because there is no more state of emergency, but the management of disease [has to continue].)",9.0,9.0,9.0,14.0,5.0
 The OCTA Research fellow added that the COVID situation now is not the same as it was in 2020 or 2021.,6.0,11.0,11.0,11.0,5.0
" ""'Yung situation ngayon sa COVID is not the same noong 2020... 2021... Iba na ang situation ngayon,"" he said.",13.0,15.0,10.0,5.0,5.0
" However, it does not mean that COVID-19 should no longer be given attention, David added.",6.0,6.0,6.0,11.0,5.0
" ""We have to wait for the official announcement ng WHO [kung endemic na ang COVID-19]... I think ganyan na rin more or less 'yung messaging... na it's not an emergency for what it was once... More or less, manageable na 'yung disease,"" he said.",9.0,9.0,9.0,10.0,9.0
" ""Dapat patuloy pa rin ang mga paalala at abiso sa publiko kaugnay sa COVID-19 para makapaghanda kung sakaling may pagtaas ng mga kaso,"" David added.",11.0,13.0,13.0,11.0,13.0
 He also said the number of COVID-19 infections reported by the Department of Health may not represent the whole picture given that some countrymen use antigen tests and do not report the results.,9.0,9.0,9.0,9.0,9.0
" ""Mas kakaunti ang nate-test, mas kaunti ang nakikitang cases... Mas marami ang hindi nagpapa-test... 'Yung mga antigen test result, hindi nare-report sa database,"" David said.",9.0,9.0,5.0,15.0,5.0
" ""We estimate na 'yung true number of infections ay 10 to 20 times higher... Kung mayroon tayong 1,500 cases reported yesterday, baka 10 times higher, baka 15,000 na pala 'yun,"" he added.",9.0,9.0,9.0,1.0,1.0
" But what is good to note is that there are fewer severe and critical COVID-19 cases and fewer cases leading to hospitalizations, David added.",9.0,9.0,9.0,9.0,5.0
" ""Walang danger na ma-overwhelm ang hospitals. Although tumaas slightly sa Metro Manila... Nothing to panic about,"" he said.",9.0,9.0,9.0,9.0,9.0
 David said authorities should continue monitoring the number of COVID-19 cases as the virus can still mutate and evolve into something worse anytime.,9.0,7.0,7.0,10.0,5.0
" He also encouraged the public, particularly senior citizens and those  to take extra caution to prevent contracting COVID-19.",10.0,12.0,12.0,12.0,12.0
Marcos welcomed by King Charles III's representatives in UK,14.0,13.0,13.0,15.0,13.0
" President Ferdinand ""Bongbong"" Marcos Jr. and his entourage has arrived in the United Kingdom to attend the coronation of King Charles III.",14.0,13.0,13.0,13.0,13.0
 Marcos was  by the king's representatives with whom he had a brief meeting.,14.0,13.0,13.0,15.0,13.0
" According to a social media post by the Presidential Communications Office, Marcos also toured the Gatwick airport and met its officials to gather ideas on how to improve operations of Philippine airports.",14.0,13.0,13.0,13.0,13.0
 Gatwick is regarded as one of the busiest airports in the world.,2.0,8.0,8.0,11.0,11.0
 Marcos came from the United States where he met with President Joe Biden and other US top officials.,14.0,13.0,13.0,13.0,13.0
 Marcos and First Lady Liza Araneta-Marcos are expected to attend a reception at Buckingham Palace on May 5.,14.0,5.0,11.0,13.0,13.0
DOH to convene COVID-19 task force in reaction to WHO declaration,9.0,13.0,13.0,7.0,13.0
 The Department of Health (DOH) will review health guidelines after the World Health Organization declared that COVID-19 is no longer a global health emergency.,9.0,9.0,9.0,9.0,9.0
" ""The Department of Health (DOH)  the proclamation of the World Health Organization (WHO) regarding the lifting of the Public Health Emergency of International Concern (PHEIC) on COVID-19,"" the Health Department said in a statement.",9.0,9.0,9.0,9.0,9.0
 The Emergency Committee of the world body met on Thursday and posted the ,14.0,13.0,13.0,13.0,13.0
" The move, DOH said, is a reflection of ""effective and collaborative"" efforts to contain the disease and to jumpstart the economy.",1.0,9.0,1.0,1.0,9.0
" There is still work to be done though, the agency adds.",6.0,8.0,11.0,1.0,6.0
" ""The DOH will convene the members of the Inter-Agency Task Force for Emerging Infectious Diseases (IATF-EID) to discuss and reassess policies and other guidelines affected by the declaration.""",9.0,13.0,9.0,1.0,13.0
 The DOH did not mention the details of its plans regards to the implementation of the COVID-19 protocols as of posting time.,6.0,6.0,6.0,3.0,13.0
" Independent monitoring group OCTA earlier, however, revealed that COVID-19 positivity rate may increase in  days.",9.0,12.0,8.0,11.0,13.0
 The group reported the positivity rate — or the percentage of people who were found positive for the coronavirus among the total number of individuals tested — reached 20.4% as of May 3.,9.0,12.0,11.0,9.0,12.0
" “We’re expecting na tataas pa ang positivity rate baka umabot siya ng up to 25%. Di lang ako ang gumawa ng projections na 'yan. Even other experts foresee that,” said OCTA fellow Dr. Guido David in a public briefing.",9.0,1.0,1.0,7.0,9.0
" (We’re expecting that the positivity rate may increase and even reach 25%. This is not based on my projections only, other experts also foresee that.)",12.0,1.0,1.0,1.0,1.0
 The Health Department will review all issues regarding COVID-19 response.,9.0,9.0,9.0,15.0,9.0
"PH logs 1,563 new COVID-19 cases; active infections at 9,159",9.0,9.0,9.0,15.0,5.0
" The Philippines on Friday recorded 1,563 new COVID-19 cases, pushing the country’s active infections to 9,159.",9.0,11.0,9.0,5.0,5.0
" Based on the latest bulletin of the Department of Health, the total nationwide tally currently stands at 4,099,088 while the total recoveries are now at 4,019,325.",9.0,9.0,9.0,5.0,9.0
" The death toll is still at 66,444.",9.0,9.0,9.0,9.0,7.0
" In the last 14 days, Metro Manila remained the area with the highest number of new infections with 4,589. It was followed by CALABARZON with 2,263, Central Luzon with 657, Western Visayas, with 564, and Bicol Region with 424.",9.0,11.0,11.0,2.0,9.0
 COVID-19 bed occupancy in the country is still at low risk with 18.2%,9.0,9.0,9.0,9.0,7.0
" 9,465 individuals were tested for the virus on Thursday, May 4. 318 testing laboratories submitted their results.",9.0,9.0,9.0,12.0,5.0
Raffy Tulfo seeks probe on ‘anti-poor’ process of obtaining a driver's license,5.0,5.0,5.0,5.0,5.0
 Senator Raffy Tulfo is seeking a Senate investigation into what he called an “anti-poor” process of getting a driver’s license in the Philippines.,13.0,13.0,13.0,13.0,13.0
" In filing proposed Senate Resolution 577, Tulfo said there were issues with the process of obtaining a driver’s license, particularly the required Theoretical Driving Course and Practical Driving Course with an LTO-accredited driving school and the “costly” medical exam and medical certificate from an LTO-accredited clinic.",6.0,6.0,13.0,9.0,13.0
" “There is a need to ensure that the process of obtaining a driver’s license is streamlined, affordable, cost-efficient, and impenetrable by fixers,” Tulfo said in his resolution.",6.0,6.0,6.0,6.0,1.0
" “The issuance of new and renewal of driver’s license is imbued with public interest to monitor the capacity of our drivers to operate vehicles that is crucial for the safety of the riding public and pedestrians,” he added.",9.0,6.0,9.0,9.0,9.0
" Apart from this, Tulfo raised the need to investigate the bidding process for the plastic cards needed for the printing of a driver’s license following recent reports of a shortage.",1.0,5.0,5.0,5.0,5.0
" The lawmaker said the incidents surrounding the bidding for the plastic cards, as well as license plates, should be investigated to prevent the repeated problems of a shortage in crucial regulatory tools for land transportation.",1.0,7.0,7.0,13.0,5.0
" Further, Tulfo also wanted the Senate to investigate the process of registering motor vehicles, particularly the requirement of Compulsory Third-Party Liability (CTPL) insurance, which is a requirement for all motor vehicle owners in the Philippines.",13.0,13.0,13.0,5.0,13.0
" He said that many motor vehicle owners already  motor vehicle insurance, making the CTPL requirement redundant.",1.0,1.0,1.0,5.0,9.0
" “The payment of both the CTPL  motor vehicle insurance can be burdensome for many motor vehicle owners, especially those who are already struggling with the rising costs of vehicle ownership,” said Tulfo.",1.0,1.0,1.0,1.0,1.0
"MIF, 10 other bills added to LEDAC —Speaker Romualdez",13.0,6.0,13.0,6.0,13.0
" House of Representatives Speaker Ferdinand Martin Romualdez over the weekend revealed 11 additional bills as part of the Legislative-Executive Development Advisory Council (LEDAC), including the controversial Maharlika Investment Fund (MIF).",13.0,13.0,13.0,13.0,13.0
 These additional bills will bring the priority measures of the administration of President Ferdinand “Bongbong” Marcos Jr. to 42 from the original 31 mentioned in his first State of the Nation Address (SONA) in July 2022.,13.0,6.0,6.0,6.0,13.0
" “President Marcos approved eleven bills designed to address key issues on public health, job creation, and further stimulate economic growth as part of his administration’s priority legislation,” Romualdez said in a statement released Sunday.",13.0,6.0,6.0,13.0,13.0
" “They are intended to sustain our economic growth, hasten the country’s digital transformation and speed up the delivery of public services to our people, among other objectives,” he added.",1.0,1.0,1.0,1.0,1.0
" Romualdez was with Marcos, his cousin, in a five-day official visit to the United States, and the coronation of King Charles in London last week.",14.0,5.0,5.0,14.0,5.0
" Now in various stages of development, the 11 bills include:",6.0,6.0,6.0,6.0,13.0
" The MIF seeks to allow the government to invest surplus reserves or revenues in real estate and financial assets. Romualdez is among the authors of the measure, which is also backed by the government’s economic cluster led by Finance Secretary Benjamin Diokno.",1.0,1.0,1.0,1.0,13.0
" The House of Representatives approved the MIF on third and final reading last December, with dividends from the Bangko Sentral ng Pilipinas (BSP) and state-run banks dropped as possible funding sources according to Albay Representative Jose Maria “Joey” Salceda.",13.0,13.0,13.0,13.0,13.0
" Its counterpart reached the Senate plenary in March, three weeks after the Senate Committee on Banks, Financial Institutions, and Currencies ended its hearings on the matter.",13.0,13.0,13.0,13.0,13.0
 Romualdez said the eight remaining LEDAC bills from the original 31 bills are targeted to be approved by the leadership before the Congress adjourns sine die on June 2. The House had already approved 20 on third and final reading.,13.0,13.0,13.0,13.0,13.0
" “It will be on a best-effort basis. We will try to pass the remaining eight bills from the original priority list. If we could do that, we would have approved all of the urgent measures identified by President Marcos in less than a year,” Romualdez said.",13.0,13.0,6.0,6.0,13.0
" The eight remaining priority measures are bills on establishing regional specialty hospitals, enabling law for the natural gas industry, the National Land Use Act, the Department of Water Resources and Services and creation of the Water Regulatory Commission, the Budget Modernization Act, the National Defense Act, amendments to the Electric Power Industry Reform Act (EPIRA), and a bill on a unified system of separation, retirement, and pension for uniformed personnel.",6.0,6.0,6.0,6.0,13.0
 The House also identified 13 priority measures including:,13.0,13.0,13.0,13.0,13.0
Palace announces new appointments to government positions,13.0,13.0,13.0,13.0,13.0
 Malacañang on Saturday announced the new appointees to government positions.,13.0,13.0,13.0,13.0,13.0
 The Presidential Communications Office (PCO) said the following have been appointed effective April 28:,13.0,13.0,13.0,13.0,13.0
76% of Filipinos believe PH headed in right direction under Marcos admin — OCTA,12.0,12.0,12.0,5.0,5.0
" Around eight in 10 Filipinos believed the country was moving in the right direction under the administration of President Ferdinand “Bongbong” Marcos Jr., according to OCTA Research’s first quarter survey released on Saturday.   Conducted from March 24 to 28, the  poll found that 76% of 1,200 adult Filipinos believed that the country was headed in the right direction based on the policies and programs articulated and implemented by the current administration.   Ten percent of the respondents believed otherwise, and 13% were undecided.   “While 8 out of 10 adult Filipinos (76%) think that the country is headed in the right direction, this result represents a notable decline of 9 percentage points  to the TNM (Tugon ng Masa) Q4 October 2022 survey conducted last quarter, where 85% said that the country was headed in the right direction,” OCTA said in its report.   “The decline in the overall percentage of adult Filipinos who think that the country is headed in the right direction from last quarter was due to the consistent decreases across major areas and socioeconomic classes,” it added.",12.0,12.0,12.0,12.0,12.0
" Across major areas, the percentage of adult Filipinos who think that the country is headed in the right direction has dropped by 4 to 11 percentage points since October 2022.   Across socio-economic classes, decreases range from 8 to 14 percentage points, with the  from Class ABC (14 percentage points).",11.0,11.0,11.0,12.0,1.0
" For the first quarter of 2023, the Visayas has the highest percentage (87%) of adult Filipinos who believe the country is headed in the right direction, followed by Balance Luzon (77%), Mindanao (75%), and the National Capital Region (59%).",11.0,11.0,11.0,11.0,5.0
"National ID must be reliable, trustworthy –Pimentel",6.0,8.0,8.0,5.0,3.0
" Senate Minority Leader Aquilino ""Koko"" Pimentel III on Saturday called on the agencies involved in the issuance of the national identification card to keep the IDs ""reliable and trustworthy.""",13.0,13.0,13.0,13.0,13.0
" “Dapat yan maging reliable and trustworthy ID para kung yan ang ilalabas mo di ka na masyadong tatanungin at marami pang busisi, some ang delivered, some are self printed, iba iba itsura ng national ID hihina ang tiwala,” Pimentel said in a radio interview.",5.0,8.0,11.0,13.0,13.0
" (That needs to be a reliable and trustworthy ID. So when you use it, there won't be too many questions or too much scrutiny. If some are delivered, some are self-printed, and all the national IDs don't look the same, it undermines the trust.)",6.0,6.0,6.0,6.0,6.0
" The senator noted that on Tuesday, May 3, he had sought a Senate Blue Ribbon Committee investigation into the ""long-delayed"" issuance of the national IDs.",13.0,13.0,13.0,13.0,13.0
" “Kaya ko na-file yan kasi nga matagal nang reklamo ang delayed, ‘di lang sa delayed maraming umaabot sa akin merong maling information, smudging, nabubura ang tinta, ‘di klaro ang litrato, di tinatanggap ng financial institution, walang signature. May balita pa na print your own. Ibibigay ang file ikaw ang magprint,” he said.",1.0,5.0,5.0,5.0,5.0
" (I filed that because there have been  about the delay. And not just the delay. I've been told that some of the information is wrong, there's smudging, the print can be erased, the picture is blurry, financial institutions don't accept them, and there's no signature. There are rumors you can print your ID. The file is given and you print it.)",5.0,5.0,5.0,5.0,5.0
" “Bakit tayo nauwi sa ganyan ang budget P15-20 billion kaya gusto kong malaman ano ang ending nyan. More than P20 billion yan and yet ito ang naririnig nating feedback, i-hearing sa blue ribbon kung walang criminal negligence so be it. Pero ang pakiramdam natin marami nang problema baka meron nang criminal negligence,” he stressed.",1.0,1.0,1.0,1.0,1.0
" (Why did this happen? There's a P15-P20 billion budget for this. That's why I want to know how all this will be resolved. It's more than P20 billion, and yet this is the feedback. There needs to be a Blue Ribbon hearing. If there's no criminal negligence, so be it. But I have a feeling there are a lot of problems, maybe there is criminal negligence.)",1.0,1.0,1.0,1.0,1.0
 Pimentel said the Senate had invited the Commission on Audit. They would also review the COA findings over the years to see the main problem behind this matter.,13.0,13.0,13.0,13.0,13.0
" “Because ‘yung delivery 40% ‘yun ang delivery, ‘yung delivered, reklamo ang natanggap. Sana  ng agencies involved like PSA, BSP, NEDA yung mother agency sila ang supervisor sana  nila ang hearing para mapaliwanag na nila once and for all, ‘di sa budget hearing kundi focused lang,” he added.",1.0,1.0,7.0,13.0,5.0
" (Because 40% of the IDs have been delivered.  were about receiving them. I hope the agencies involved, like the PSA, BSP, and NEDA are the mother agencies, the supervisors. I hope they  the hearing so they can explain, once and for all. Not during budget hearings, but during a focused hearing.)",6.0,5.0,5.0,13.0,5.0
"Sandiganbayan affirms ruling, denies Marcos family bid to retake seized properties",5.0,5.0,5.0,5.0,5.0
 The Sandiganbayan on Friday denied the Motion for Reconsideration filed by former First Lady Imelda Marcos and her daughter Irene Marcos-Araneta and affirmed its January 2023 Resolution which denied the Marcoses bid to take back the wealth and properties seized from them by the government.,5.0,5.0,5.0,5.0,5.0
" “A Motion for Reconsideration should be denied when the same only constitutes a rehash of issues previously put forward. A careful reading of the defendants’ motion shows that they did not present any new arguments which would warrant a reconsideration of the Court’s Resolution dated 25 January 2023,” the Sandiganbayan said.",5.0,5.0,5.0,5.0,5.0
" “[A]fter thoughtful consideration thereof, as well as the records of this case, the Court still does not find any cogent reason to overturn its earlier pronouncements. In view of the foregoing, the defendants failed to show a good reason to justify the discretionary execution of the Decision dated 16 December 2019. The Court thus maintains its earlier pronouncement in the Resolution dated 25 January 2023,” the Sandiganbayan concluded.",5.0,5.0,5.0,5.0,5.0
" The anti-graft court, in a January 2023 15-page Resolution on Civil Case 0002, said that 22 properties and assets illegally acquired by the Marcos family during the regime of the late President Ferdinand Marcos Sr. and already recovered by the Philippine government, transferred to third persons not included in this case, or became the subject of Court decisions  agreements, were already “considered moot and academic.”",5.0,5.0,5.0,5.0,5.0
" The Marcoses, in their February 2023 Motion for Reconsideration, argued that the legality of the seizure of the Marcos properties that were transferred to the government or third parties was not yet moot and academic because the PCGG was only acting as a conservator of the “alleged ill-gotten properties.”",5.0,5.0,5.0,5.0,5.0
 These properties were transferred to the government  agreements without the consent of the defendants who were its supposed rightful owners.,5.0,5.0,5.0,4.0,1.0
" The Marcoses also insisted that  agreements entered into by the PCGG and third parties were null and void for the lack of consent of the defendants who were the registered owners of the properties while the instant case was pending. As such, the Marcoses said such properties should be returned to the lawful owners.",5.0,5.0,5.0,5.0,5.0
" However, the Sandiganbayan said in its January decision that the Supreme Court's rulings were clear in providing for the seizure of the properties from the Marcoses by upholding the validity  agreements between the Philippine government - as represented by the Presidential Commission on Good Government (PCGG), tasked to go after the ill-gotten wealth of the Marcoses and their associates, and the Office of the Solicitor General - and the Marcoses’ co-defendants.",5.0,5.0,5.0,5.0,5.0
Marcoses meet King Charles at Buckingham Palace,14.0,15.0,13.0,1.0,13.0
" President Ferdinand Marcos Jr. and First Lady Liza Araneta-Marcos were among the guests from overseas who attended the reception at Buckingham Palace in London on Friday, a day before the coronation of King Charles III.",14.0,13.0,11.0,11.0,13.0
 The couple was seen in a photo taken by Reuters as they arrived at Buckingham Palace.,11.0,11.0,11.0,10.0,7.0
 British Ambassador to the Philippines Laure Beaufils meanwhile shared a photo on Twitter on Saturday showing the Marcoses exchanging pleasantries with King Charles III at the reception.,14.0,11.0,11.0,14.0,13.0
" ""The Coronation is today! Meanwhile, last night at Buckingham Palace…,"" Beaufils wrote on Twitter.",11.0,11.0,11.0,11.0,13.0
" King Charles, who succeeded the late Queen Elizabeth, will be crowned at Westminster Abbey in London on Saturday afternoon, PH time.",11.0,10.0,11.0,5.0,13.0
" About 100 heads of state and dignitaries will attend the event, including the Marcoses and US First Lady Jill Biden.",14.0,13.0,11.0,13.0,13.0
 Speaker Martin Romualdez will also attend the coronation.,13.0,13.0,13.0,13.0,13.0
" UK Ambassador to the Philippines Laure Beaufils shares photo of President Ferdinand Marcos, Jr. and First Lady Liza Araneta-Marcos meeting King Charles III in Buckingham Palace  Marcos, Speaker Martin Romualdez et al will attend King Charles' May 6 coronation | Rest of photos… ",14.0,14.0,14.0,13.0,13.0
" In a statement, Marcos highlighted the “thriving relationship” between the Philippines and the UK.",14.0,5.0,14.0,13.0,13.0
" “We underscore the thriving relationship between the Philippines and the United Kingdom, which has been promising in increasing trade, investment, and cultural exchanges for the Filipino people,” he said.",14.0,11.0,11.0,11.0,11.0
 Marcos also shared photos of him and the First Lady attending the royal reception at Buckingham Palace.,14.0,11.0,11.0,12.0,3.0
"Scheduled airspace shutdown on May 17 reduced to 2 hours, says CAAP",8.0,6.0,2.0,13.0,13.0
" The scheduled airspace shutdown on May 17 at the Ninoy Aquino International Airport (NAIA) will be reduced to two hours, the Civil Aviation Authority of the Philippines (CAAP) said.",8.0,5.0,8.0,5.0,5.0
" According to the report on ""State of the Nation"" on Friday, the shutdown will start at 2 a.m. and last until 4 a.m.",8.0,13.0,2.0,13.0,13.0
 The airspace shutdown will be implemented to give way to corrective maintenance activity at the Air Traffic Management Center.,8.0,6.0,6.0,7.0,13.0
PNP aims for 3-minute response time to crime in crowded areas,7.0,7.0,7.0,7.0,7.0
" The Philippine National Police (PNP) aimed to allot at least three minutes to respond to crime in crowded areas in the country, according to Jun Veneracion’s “24 Oras” report on Friday.",7.0,7.0,7.0,7.0,7.0
 PNP chief Police General Benjamin Acorda Jr. said he observed the concept during his visit to Quezon City Police District last May 1.,7.0,7.0,7.0,7.0,7.0
" “If we can do that in the whole area of Metro Manila pag may nangyaring insidente andyan agad ang pulis then and I think yung crime prevention lalong mapapaigting,” Acorda said.",7.0,7.0,7.0,7.0,7.0
" (If we can do that in the whole area of Metro Manila when there is an incident, the police will be there immediately and I think crime prevention will be intensified.)",7.0,7.0,7.0,7.0,7.0
 The PNP said the crime rate in the country in the first four months of 2023 went down to  to the same period last year.,7.0,7.0,7.0,7.0,7.0
" Acorda reminded police personnel - in the fight against criminality - to always consider human rights, and to conduct clean and honest operations.",7.0,7.0,7.0,7.0,7.0
 He also assured that the PNP will strengthen the mechanisms to prevent and address the problems of corruption and illegal acts among their ranks.,13.0,7.0,13.0,13.0,13.0
" “Ang pinapangarap ko yung pag nakatayo ang pulis hindi kinakatakutan kung hindi ito ay nirerespeto,” he added.",11.0,15.0,15.0,11.0,13.0
