Text,Annotation-1,Annotation-2,Annotation-3,Majority-Frame
Actual construction of Bataan-Cavite bridge may start early 2024,15. Other,15. Other,15. Other,15. Other
MANILA – The Armed Forces of the Philippines (AFP) on Sunday said focused operations of field units in the past two weeks have resulted in the neutralization of three New People's Army (NPA) insurgents.,8. Security and Defense,8. Security and Defense,8. Security and Defense,8. Security and Defense
"MANILA – The Philippine Navy's (PN) missile frigate BRP Antonio Luna (FF-151) achieved another milestone as an AgustaWestland (now Leonardo) AW-159 ""Wildcat"" anti-submarine helicopter successfully landed on its flight deck while the ship was underway off Corregidor Island.",8. Security and Defense,8. Security and Defense,8. Security and Defense,8. Security and Defense
MMDA to hold dry run for single ticketing system in April,"7. Law and Order, Crime and Justice",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"MANILA – At least 79 members of the Communist Party of the Philippines - New People's Army (CPP-NPA) have surrendered to different police units in Mimaropa region from January to April 25 this year, according to Brig. Gen. Joel Doria, director of the Police Regional Office (PRO) 4B.",8. Security and Defense,8. Security and Defense,8. Security and Defense,8. Security and Defense
MANILA – Department of Social Welfare and Development (DSWD) Secretary Rex Gatchalian on Wednesday said  should be felt by the people it serves.,15. Other,3. Morality,10. Quality of Life,False
MRT-3 logs highest daily ridership at 408K since pandemic,9. Health and Safety,15. Other,10. Quality of Life,False
LTFRB: Only 10% of NCR routes affected by transport strike,15. Other,15. Other,10. Quality of Life,15. Other
MANILA – The Climate Change Commission (CCC) emphasized Thursday the importance of strengthening the country's agriculture sector to cushion the impact of climate change on food production.,15. Other,6. Policy Prescription and Evaluation,2. Capacity and Resources,False
"MANILA – President Ferdinand R. Marcos Jr. on Saturday said the government  to the long-term rehabilitation of oil-spill affected Oriental Mindoro, starting with livelihood projects.",2. Capacity and Resources,6. Policy Prescription and Evaluation,10. Quality of Life,False
13 CIDG cops not yet off the hook over robbery-extortion raps,15. Other,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
MANILA – The Supreme Court on Tuesday dismissed the petitions questioning the result of the Negros Oriental gubernatorial race between Pryde Henry Teves and Roel Degamo.,13. Political,5. Constitutionality and Jurisprudence,13. Political,13. Political
MANILA – The Department of Public Works and Highways-National Capital Region (DPWH-NCR) advised motorists that the three lanes of the EDSA-Ortigas Flyover southbound lane in Mandaluyong City will be closed for four days starting Maundy Thursday.,15. Other,6. Policy Prescription and Evaluation,3. Morality,False
MANILA – The Department of Social Welfare and Development (DSWD) has partnered with the National Commission on Indigenous Peoples (NCIP) to uplift the lives and improve the well-being of the Indigenous Cultural Communities/Indigenous Peoples (ICCs/IPs) in the country through social protection efforts.,11. Cultural Identity,11. Cultural Identity,11. Cultural Identity,11. Cultural Identity
MANILA – President Ferdinand R. Marcos Jr. on Friday expressed grief after two Filipinos died from Monday's magnitude 7.8 earthquake that rocked Türkiye and Syria.,15. Other,15. Other,3. Morality,15. Other
"MANILA – Malacañang on Friday released the names of new appointees of President Ferdinand R. Marcos Jr., including the respective heads of the National  Commission (NTC) and the Intelligence Service of the Armed Forces of the Philippines (ISAFP).",13. Political,15. Other,13. Political,13. Political
MANILA – The Office of the President (OP) has partnered with the Anti-Red Tape Authority (ARTA) to hold accountable government agencies that fail to act  or concerns lodged through the 8888 Citizens Complaint Center (CCC).,5. Constitutionality and Jurisprudence,14. External Regulation and Reputation,13. Political,False
Magnitude 5.9 quake jolts Davao de Oro anew,15. Other,15. Other,15. Other,15. Other
"MANILA – A lawmaker on Wednesday urged new Philippine National Police (PNP) chief Gen. Benjamin Acorda Jr. to prioritize ""internal cleansing"" and put its affairs in order.",5. Constitutionality and Jurisprudence,6. Policy Prescription and Evaluation,13. Political,False
"MANILA – A low pressure area (LPA) and the northeast monsoon or 'amihan' will bring rains over some areas in the country, the weather bureau said Monday.",15. Other,15. Other,15. Other,15. Other
"DA upholds food safety, seizes P120-M smuggled agri-fishery goods",8. Security and Defense,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"PH, US Navy fleets to tackle cooperation, exchanges in 3-day meet",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Manila ready to implement single ticketing system on May 2,6. Policy Prescription and Evaluation,15. Other,10. Quality of Life,False
MANILA – The Liga ng Transportasyon at Operators sa Pilipinas (LTOP) is set to launch on Friday an updated version of a driver's manual intended to raise  level of Filipino professional drivers.,10. Quality of Life,15. Other,2. Capacity and Resources,False
PBBM: Gov't carried out half of PSAC's infra recommendations,"7. Law and Order, Crime and Justice",15. Other,13. Political,False
Enrile still pushes con-ass to amend Charter,13. Political,13. Political,5. Constitutionality and Jurisprudence,13. Political
"MANILA – Edible landscaping (EL) may just be the solution to achieve sustainable food security across the country, an official of the Climate Change Commission (CCC) said Sunday.",1. Economic,6. Policy Prescription and Evaluation,2. Capacity and Resources,False
PBBM taps LGUs to promote ‘last mile’ nutrition,9. Health and Safety,9. Health and Safety,13. Political,9. Health and Safety
"Book highlighting PH, Czechia cultural, diplomatic ties launched",11. Cultural Identity,15. Other,14. External Regulation and Reputation,False
"PhilMech to train, fund cooperatives to boost coconut industry",1. Economic,6. Policy Prescription and Evaluation,1. Economic,1. Economic
"5 wanted aliens nabbed in Iloilo City, Boracay",8. Security and Defense,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
MANILA – The Sandiganbayan has cleared the former head of the Iligan City Highway Patrol Group (HPG) of graft charges arising from an entrapment operation five years ago.,"7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
MIAA chief notes high OTP at NAIA on Holy Monday,15. Other,15. Other,3. Morality,15. Other
MANILA – The Philippine National Police (PNP) on Friday said it continues to crack down against private armed groups (PAGs) and intensify its campaign against loose firearms.,8. Security and Defense,"7. Law and Order, Crime and Justice",8. Security and Defense,8. Security and Defense
MANILA – Two senators have filed bills to provide specialized health care to the country’s estimated 10 million senior citizens.,9. Health and Safety,6. Policy Prescription and Evaluation,9. Health and Safety,9. Health and Safety
MANILA – The Philippine Army (PA) on Friday announced that 13 artillery platoons have been certified and declared as highly capable for howitzer operations.,8. Security and Defense,8. Security and Defense,8. Security and Defense,8. Security and Defense
"MANILA – President Ferdinand R. Marcos Jr. on Wednesday described as ""encouraging"" the latest Social Weather Stations (SWS) survey showing that 75 percent of adult Filipinos are satisfied with his performance in the fourth quarter of 2022.",12. Public Opinion,12. Public Opinion,12. Public Opinion,12. Public Opinion
"DOH, partners wage all-out war vs. malaria in Palawan",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"DBM: P4-B allotted for drivers, farmers, fishers' fuel subsidies",2. Capacity and Resources,2. Capacity and Resources,1. Economic,2. Capacity and Resources
MANILA – Australian Ambassador to the Philippines HK Yu thanked the Philippines for its “support” as Canberra unveils its plan to procure nuclear-powered submarine under AUKUS.,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Bill protecting human rights defenders hurdles House panel,3. Morality,6. Policy Prescription and Evaluation,4. Fairness and Equality,False
Senators call to maximize Anti-Hazing Act implementation,4. Fairness and Equality,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"MANILA – Department of the Interior and Local Government (DILG) Secretary Benjamin ""Benhur"" Abalos Jr. on Monday  the appointment of newly installed Philippine National Police (PNP) chief Gen. Benjamin Acorda Jr. and assured the department’s full support for the implementation of reforms in the police service.",6. Policy Prescription and Evaluation,13. Political,13. Political,13. Political
Person in communion bread review may be excommunicated: CBCP exec,15. Other,3. Morality,3. Morality,3. Morality
MANILA – Manila Archbishop Jose Cardinal Advincula called on the faithful  the season of Lent with  and love for others.,3. Morality,3. Morality,3. Morality,3. Morality
Strict enforcement of shipbuilding guides sought after oil spill,1. Economic,6. Policy Prescription and Evaluation,"7. Law and Order, Crime and Justice",False
"Solon pushes bill banning ‘no permit, no exam’ policy",10. Quality of Life,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
MANILA – Armed Forces of the Philippines (AFP) chief of staff Gen. Andres C. Centino on April 18 visited the newly approved Enhanced Defense Cooperation Agreement (EDCA) sites in Northern Luzon and was briefed on the construction projects being undertaken in one of the new locations.,15. Other,15. Other,8. Security and Defense,15. Other
MANILA – The National Disaster Risk Reduction and Management Council (NDRRMC) has expressed its appreciation to all countries that extended help to the Philippines in containing the oil spill off Oriental Mindoro waters.,14. External Regulation and Reputation,13. Political,14. External Regulation and Reputation,14. External Regulation and Reputation
Camp Crame-based police officers get new dormitory,15. Other,15. Other,"7. Law and Order, Crime and Justice",15. Other
Senators want alliance to de-escalate tension in WPS,14. External Regulation and Reputation,6. Policy Prescription and Evaluation,13. Political,False
"MANILA – President Ferdinand R. Marcos Jr. has ordered the provision of USD200,000 or around PHP11 million in financial assistance to Syria which was hit by the magnitude 7.8 earthquake on Feb. 6.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA – Taguig City Mayor Lani Cayetano has lauded two female police officers in the city for declining a PHP100,000 bribe in exchange for the release of a Chinese national nabbed for illegal drugs.",8. Security and Defense,"7. Law and Order, Crime and Justice",13. Political,False
"No work, no pay' for Feb. 24 holiday: DOLE",1. Economic,15. Other,10. Quality of Life,False
Reset of COC filing period for BSKE to lessen poll violence,8. Security and Defense,13. Political,13. Political,13. Political
91% of Filipinos agree with voluntary wearing of face masks: SWS,12. Public Opinion,12. Public Opinion,9. Health and Safety,12. Public Opinion
"MANILA – The Office of the Vice President (OVP) has provided relief assistance to around 3,058 individuals affected by separate fire incidents in Quezon City and Zamboanga City.",1. Economic,10. Quality of Life,10. Quality of Life,10. Quality of Life
"On EDSA Day, PBBM calls for ‘peace, unity, reconciliation’",3. Morality,11. Cultural Identity,3. Morality,3. Morality
Davao solon seeks creation of another CA division in Mindanao,8. Security and Defense,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"MTRCB needs more power to police online, streaming contents",15. Other,6. Policy Prescription and Evaluation,2. Capacity and Resources,False
MANILA – Malacañang on Monday announced the four additional “suitable and mutually beneficial” locations for the Enhanced Defense Cooperation Agreement (EDCA).,8. Security and Defense,8. Security and Defense,8. Security and Defense,8. Security and Defense
"PNP urges SIM card sellers to record buyers' names, check IDs","7. Law and Order, Crime and Justice",6. Policy Prescription and Evaluation,5. Constitutionality and Jurisprudence,False
"MANILA – The move to import around 450,000 metric tons of sugar by the Department of Agriculture (DA) is aimed at managing inflation and building a buffer stock that will adequately meet the country's sugar requirements, a senior Agriculture official said on Wednesday.",1. Economic,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
MANILA – Senate President Juan Miguel Zubiri on Wednesday urged the Philippine National Police (PNP) and the Department of Justice (DOJ) to prosecute violators of the statutory rape law saying non-prosecution is one of the reasons of the high rise of teenage pregnancies.,3. Morality,6. Policy Prescription and Evaluation,13. Political,False
"House, Senate launch eCongress for ‘people-centered’ legislature",5. Constitutionality and Jurisprudence,6. Policy Prescription and Evaluation,13. Political,False
CSC chief pledges full support to national dev’t plan,1. Economic,13. Political,13. Political,13. Political
Senate support to ongoing PNP ‘internal cleansing’ efforts hailed,13. Political,13. Political,"7. Law and Order, Crime and Justice",13. Political
US-supported cooperative to benefit fisherfolk in Aparri,14. External Regulation and Reputation,10. Quality of Life,14. External Regulation and Reputation,14. External Regulation and Reputation
MANILA – The emergency use authorization (EUA) for the bivalent vaccines against coronavirus disease 2019 (Covid-19) from the COVAX Facility has been released.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"IACAT, PAOCC ordered to intensify efforts vs. human trafficking","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Solon wants cost-benefit analysis of proposed charter amendments,1. Economic,6. Policy Prescription and Evaluation,5. Constitutionality and Jurisprudence,False
MANILA – The economic team of President Ferdinand R. Marcos Jr. is scheduled to meet with the Japanese  on Friday to tout the Philippines' robust economy and lure more investments.,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA – The country will experience warm weather with isolated rain showers due to the prevailing easterlies, the weather bureau said Wednesday.",15. Other,15. Other,15. Other,15. Other
"MANILA – Vice President and Education Secretary Sara Duterte has warned local officials against nepotism and cronyism, or favors in the hiring of teachers in public schools.",4. Fairness and Equality,13. Political,13. Political,13. Political
DOJ seeks to designate Negros Oriental solon as terrorist,13. Political,6. Policy Prescription and Evaluation,8. Security and Defense,False
Survey shows most Catholics able to fulfill Holy Week obligations,12. Public Opinion,12. Public Opinion,3. Morality,12. Public Opinion
PH medical team to Türkiye treats 938 patients,9. Health and Safety,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
DBM: Study on LGU devolution out in 2 months,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,13. Political,6. Policy Prescription and Evaluation
"MANILA -- Catholic Church officials on Friday urged the faithful who will go on vacation not to forget the true essence of the Holy Week, which starts next week.",15. Other,3. Morality,3. Morality,3. Morality
SC junks lower retirement age for female flight attendants,4. Fairness and Equality,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
PNP advisory body in 'final stretch' of ranking cops' screening,15. Other,15. Other,6. Policy Prescription and Evaluation,15. Other
"MANILA – The Philippine and Chinese governments are set to begin talks on new “terms of reference” (TOR) for joint oil and gas exploration in the South China Sea after overall discussion for the cooperation was terminated under the previous administration, the country’s top diplomat disclosed.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
MANILA – President Ferdinand R. Marcos Jr. on Wednesday said he would look into the growing calls to postpone the planned phaseout of traditional jeepneys by June 30.,10. Quality of Life,6. Policy Prescription and Evaluation,13. Political,False
"MANILA – The Commission on Elections (Comelec) en banc affirmed the disqualification of Carmen Geraldine Rosal as a candidate for mayor of Legazpi City, Albay during the May 9, 2022 elections.",13. Political,13. Political,13. Political,13. Political
MANILA – Department of the Interior and Local Government (DILG) Secretary Benjamin Abalos Jr. has identified the Philippine National Police (PNP) officers seen in video footage of a drug raid that led to the confiscation of 990 kilos of shabu worth PHP6.7 billion in Manila last year.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"PH 'great' investment hub, PBBM assures Japanese biz leaders",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
DOH calls for interagency collaboration to eliminate TB,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
More areas placed under signal no. 1 due to TD Amang,15. Other,15. Other,15. Other,15. Other
PBBM declares Feb. 24 special non-working day,15. Other,15. Other,15. Other,15. Other
No misuse of higher education dev't funds: CHED,1. Economic,13. Political,2. Capacity and Resources,False
"MANILA – The Commission on Higher Education (CHED) on Wednesday refuted allegations of misuse of public funds, particularly the Higher Education Development Fund (HEDF).",1. Economic,13. Political,2. Capacity and Resources,False
BI cites need for inter-agency cooperation vs. human trafficking,"7. Law and Order, Crime and Justice",6. Policy Prescription and Evaluation,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"CHED condemns hazing, violence in HEIs after student’s death",10. Quality of Life,13. Political,"7. Law and Order, Crime and Justice",False
MANILA – The Department of Agriculture's Inspectorate and Enforcement Office (DA-IE) bared on Tuesday the confiscation of over PHP150 million worth of smuggled sugar.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Magnitude 5.6 quake jolts Cagayan,15. Other,15. Other,15. Other,15. Other
"Easterlies to bring cloudy skies, scattered rains on Saturday",15. Other,15. Other,15. Other,15. Other
MANILA – The Office of Civil Defense (OCD) on Wednesday announced that the Philippine rescue units in Türkiye have recovered two more bodies as of Tuesday (local time).,9. Health and Safety,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA – The House Committee on Agriculture and Food will resume on Tuesday its inquiry into the alleged hoarding of agriculture products, seen to have induced the skyrocketing of prices of onion and other farm products, House Speaker Martin Romualdez said in a statement on Sunday.",1. Economic,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
MANILA – National Economic and Development Authority (NEDA) Secretary Arsenio Balisacan believes it is “high time” to develop the country’s innovation ecosystem.,2. Capacity and Resources,6. Policy Prescription and Evaluation,13. Political,False
BFAR braces for El Niño,15. Other,15. Other,15. Other,15. Other
"PNA celebrates 50 years of telling news stories, inspiring change",10. Quality of Life,15. Other,11. Cultural Identity,False
MANILA – The Presidential Communications Office (PCO) on Thursday changed its logo to symbolize  to a more efficient delivery and dissemination of news and information to the public.,15. Other,15. Other,15. Other,15. Other
"MANILA – The ratification of the Regional Comprehensive Economic Partnership (RCEP), the world's biggest free trade agreement, shows the world that the Philippines  to economic openness, President Ferdinand R. Marcos Jr. said Wednesday.",1. Economic,1. Economic,1. Economic,1. Economic
Compel students to declare fraternity memberships – Zubiri,15. Other,6. Policy Prescription and Evaluation,5. Constitutionality and Jurisprudence,False
SGLG awardees urged to use incentives for high-impact projects,2. Capacity and Resources,6. Policy Prescription and Evaluation,3. Morality,False
Bill proposes gender-neutral school uniforms,10. Quality of Life,6. Policy Prescription and Evaluation,5. Constitutionality and Jurisprudence,False
