Text,Annotation-1,Annotation-2,Annotation-3,Majority-Frame
"Governor Manuel Mamba on Tuesday reiterated his stance against establishing a new EDCA site in Cagayan as he expressed fear that the base could  a ""magnet"" for attacks by US adversaries.",6. Policy Prescription and Evaluation,13. Political,13. Political,13. Political
"Over 100,000 PUVs to hold weeklong strike starting March 6",13. Political,4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality
Poe laments ‘drought of common goals’ amid looming water crisis,2. Capacity and Resources,13. Political,2. Capacity and Resources,2. Capacity and Resources
Senators want to see effects of new economic laws before supporting Cha-cha — Villanueva,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"Five of the accused in the death of Adamson University student John Matthew Salilig have filed their petition for bail, the prosecution panel said Wednesday.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
PNP asks for more time to validate alleged data breach — NPC,8. Security and Defense,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
The Supreme Court has junked a petition seeking to declare as immediately executory the penalty of perpetual disqualification against former Surigao del Sur Representative Prospero Pichay Jr. as moot and academic.,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
"Pink eye, or conjunctivitis, is one of the new symptoms associated with COVID-19, particularly the Omicron subvariant XBB.1.16 or Arcturus.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
The Ateneo de Manila University has approved the implementation of a co-education system granting access to female students in its basic education schools.,6. Policy Prescription and Evaluation,4. Fairness and Equality,4. Fairness and Equality,4. Fairness and Equality
"Disinformation, red-tagging of opposition lawmakers in PH ‘increased alarmingly’ ahead of 2022 elections — APHR",13. Political,"7. Law and Order, Crime and Justice",4. Fairness and Equality,False
Senator Risa Hontiveros on Thursday  the suspension order issued by the Office of the Ombudsman on government officials allegedly involved in the anomalous procurement of pandemic supplies from Pharmally Pharmaceutical Corp. in 2020 and 2021.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"The Department of Health (DOH) reported 134 new COVID-19 cases on Friday, bringing the active tally to 9,170.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"The International Criminal Court (ICC) can find ways to reach witnesses if the Philippine government will not cooperate in the investigation into the Duterte administration's bloody war on drugs, according to ICC assistant to counsel Atty. Maria Kristina Conti.","7. Law and Order, Crime and Justice",13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"President Ferdinand ""Bongbong"" Marcos Jr. on Monday underscored the need to develop systems that will protect the country from any attacks in the cyberspace.",6. Policy Prescription and Evaluation,8. Security and Defense,8. Security and Defense,8. Security and Defense
"The visit of forensics expert Dr. Morris Tidball-Binz to the Philippines this month will help the government with its investigation into the “wrongful death tragedies” in the Philippines, Justice Secretary Jesus Crispin Remulla said on Sunday.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",8. Security and Defense,"7. Law and Order, Crime and Justice"
"Pregnancy shouldn't be a reason for teenage girls who dropped out of school to not finish their studies because the government is providing ways for them to continue their education, Vice President Sara Duterte said on Wednesday.",10. Quality of Life,9. Health and Safety,10. Quality of Life,10. Quality of Life
"The country’s COVID-19 positivity rate increased to 14.3% on Friday, according to the independent monitoring group OCTA Research.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Villanueva claims SOGIE bill being used to legalize same-sex marriage; Hontiveros refutes,6. Policy Prescription and Evaluation,13. Political,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
House ethics panel receives Degamo widow’s letter seeking Arnie Teves expulsion,"7. Law and Order, Crime and Justice",13. Political,13. Political,13. Political
"The delegation of European Parliament members of its  on human rights visited former Senator Leila De Lima at the PNP Custodial Center on Thursday, the eve of the sixth anniversary of her detention on drug charges.",13. Political,14. External Regulation and Reputation,4. Fairness and Equality,False
Raffy Tulfo senses turf war amid alleged human smuggling incidents at NAIA,13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Advisory group screened 466 of 955 senior officers’ courtesy resignations so far — PNP,13. Political,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
The Department of Health (DOH) said Monday it will sit with officials from the Department of Budget and Management (DBM) this week to discuss reforms on how to pay the delayed COVID-19 special risk allowance of healthcare workers.,6. Policy Prescription and Evaluation,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"EU lawmakers call on Philippines to rejoin ICC, decriminalize libel",6. Policy Prescription and Evaluation,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
The House of Representatives on Wednesday approved the Magna Carta for Filipino Seafarers on second reading.,6. Policy Prescription and Evaluation,5. Constitutionality and Jurisprudence,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"Several senators, led by Mark Villar, on Monday sat down with economic managers for a briefing on the Maharlika Investment Fund (MIF) bill.",6. Policy Prescription and Evaluation,1. Economic,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"MTRCB rejects proposed expansion of mandate to regulate video, online games",6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"The Department of Health (DOH) on Wednesday logged 382 new COVID-19 cases, while the number of active cases dropped to 8,252.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
The five-man advisory group on Friday said it  the review on the courtesy resignations of 953 senior police officers of the Philippine National Police (PNP).,13. Political,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
Remulla to attend Senate hearing on Degamo slay,13. Political,13. Political,13. Political,13. Political
"The Philippine National Police has pieced together almost the entire story behind the killing of Negros Oriental Gov. Roel Degamo, the PNP spokesperson Police Colonel Jean Fajardo has said.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Operations in Philippine airports are going well so far this Holy Week amid the influx of passengers, according to the Bureau of Immigration (BI) on Thursday.",10. Quality of Life,10. Quality of Life,2. Capacity and Resources,10. Quality of Life
HIV cases in PH projected to reach 364K in 2030 — DOH exec,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
South Korea sends aid for oil spill cleanup,2. Capacity and Resources,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"Amending the 1987 Constitution is not dependent on the endorsement of the sitting president, Senator Robin Padilla, one of the proponents of Charter change in the Senate, said Wednesday.",13. Political,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
Tolentino on Cha-cha: Let all voices be heard,4. Fairness and Equality,13. Political,4. Fairness and Equality,4. Fairness and Equality
The Philippine National Police (PNP) on Sunday said it will place its units on heightened alert status in light of the week-long transport holiday being organized by several transportation groups.,8. Security and Defense,2. Capacity and Resources,8. Security and Defense,8. Security and Defense
Vice President Sara Duterte has lauded the socio-civic group Fraternal Order of Eagles for its philanthropy that she said brought about social change.,3. Morality,13. Political,4. Fairness and Equality,False
"The AUKUS security bloc consisting of Australia, the United Kingdom and the United States will support the Philippines and neighboring countries by helping deter threats to a rules-based international order and freedom of navigation in the South China Sea amid escalating tensions in the contested waters, the British ambassador told GMA News Online in an interview last Monday.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Negros Oriental Rep. Teves will face murder allegations — Topacio,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Hazing complaints filed against 6 linked to Salilig death,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
CBCP releases 'litany of gratitude' amid COVID-19 pandemic recovery,3. Morality,3. Morality,3. Morality,3. Morality
"The Philippines, being the main security ally of the United States in the Indo-Pacific region, must be given preferential treatment on trade and investments.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Philippines ranks 51st out of 163 countries in impunity index,12. Public Opinion,10. Quality of Life,"7. Law and Order, Crime and Justice",False
The Pagkakaisa ng Samahan ng Tsuper at Operator Nationwide or PISTON said the transport strike will continue on Tuesday.,13. Political,4. Fairness and Equality,13. Political,13. Political
"Speaker Martin Romualdez on Wednesday defended the House of Representatives' ""rush"" in approving measures seeking to amend the 1987 Constitution, saying it will benefit the country.",13. Political,6. Policy Prescription and Evaluation,13. Political,13. Political
"Filipino rescuers feed, tend to animals who lost their humans in Turkey quake",3. Morality,3. Morality,2. Capacity and Resources,3. Morality
"A total of 31,238 passengers have been monitored so far in all ports in the country on Monday morning, the last day of the long weekend, the Philippine Coast Guard (PCG) said.",10. Quality of Life,10. Quality of Life,2. Capacity and Resources,10. Quality of Life
Enrile asked for PDAF release to groups allegedly linked to Napoles —DBM exec,13. Political,13. Political,13. Political,13. Political
Senate Deputy Minority Leader Risa Hontiveros on Friday urged Malacañang to condemn in the “strongest terms” the continuing aggression of China in the West Philippine Sea (WPS).,13. Political,13. Political,8. Security and Defense,13. Political
House pushing for con-con to gain public trust - panel exec,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,13. Political,6. Policy Prescription and Evaluation
Group pushes for banning political turncoatism,6. Policy Prescription and Evaluation,12. Public Opinion,12. Public Opinion,12. Public Opinion
"of Labor Day, Vice President Sara Duterte on Monday called on the nation to advocate for a work culture that sees the importance of better wages, workers’ mental health, gender-responsive policies, and career growth opportunities, among others.",11. Cultural Identity,11. Cultural Identity,4. Fairness and Equality,11. Cultural Identity
"Indonesia’s top envoy to the Philippines has underscored the need for stronger cooperation with Manila on border security amid the threat of terrorism and other illegal operations, such as smuggling, at the porous sea lane between the two countries.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Lawyer bares ways for ICC to reach witnesses in Philippine drug war probe,"7. Law and Order, Crime and Justice",14. External Regulation and Reputation,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Bantag asks court to defer issuance of arrest warrant,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Manila International Airport (MIAAO) Senior Assistant General Manager Bryan Co will take the helm of the agency as officer-in-charge after its chief, Cesar Chiong, was placed under preventive suspension by the Ombudsman.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",13. Political,"7. Law and Order, Crime and Justice"
"Philippines logs 261 new COVID-19 cases; active tally climbs to 9,231",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"The Senate will prioritize the measures identified as such by the Legislative Executive Development Advisory Council (LEDAC) over measures seeking to amend the 1987 Constitution, Senate President Juan Miguel Zubiri said Tuesday.",13. Political,6. Policy Prescription and Evaluation,5. Constitutionality and Jurisprudence,False
"The Supreme Court has upheld the constitutionality of the Tax Reform for Acceleration and Inclusion (TRAIN) Act as it dismissed petitions that questioned how it was passed in Congress and its imposition of ""regressive"" taxes.",5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
Malacañang on Friday confirmed the resignation of Sugar Regulatory Administration (SRA) chief David Thaddeus Alba.,13. Political,13. Political,2. Capacity and Resources,13. Political
VP Duterte urges students to help classmates who can’t read,3. Morality,3. Morality,10. Quality of Life,3. Morality
"A Senate panel will invite suspended Negros Oriental Representative Arnolfo ""Arnie"" Teves Jr., his brother, former Negros Oriental governor Pryde Henry Teves, and the Commission on Elections (Comelec) to its probe into the assassination of Negros Oriental Governor Roel Degamo, Senator Ronald ""Bato"" dela Rosa said Tuesday.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
CIDG has ‘idea’ of mastermind behind missing sabungeros,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
COA: PCMC should collect P147 million from contractors over delayed projects,1. Economic,1. Economic,1. Economic,1. Economic
Marcos to Filipino-Chinese community: Reaffirm commitment to support Philippine gov’t,13. Political,13. Political,14. External Regulation and Reputation,13. Political
"President Ferdinand ""Bongbong"" Marcos Jr. on Monday highlighted the importance of partnership between the private sector, MSMEs, and local farmers in achieving  agriculture industry.",13. Political,1. Economic,1. Economic,1. Economic
US stands with PH vs. Chinese 'intimidation' in South China Sea —US State Dep't official,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"The Department of Health (DOH) on Thursday kicked off a nationwide supplemental immunization campaign to vaccinate children against measles, rubella, and polio.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Remulla: House reso defending Duterte ‘natural’,13. Political,13. Political,13. Political,13. Political
"TOKYO — Amid talks of the Philippines possibly forming a Visiting Forces Agreement (VFA) with Japan just as it has with the United States, President Ferdinand Marcos Jr. said that such a pact—which would allow Japanese troops to conduct military exercises and exchanges with the country’s armed forces—should not provoke tensions with China.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
President Ferdinand “Bongbong” Marcos Jr. on Sunday called on Filipinos to take the celebration of Easter Sunday as a time for renewal and recovery.,3. Morality,3. Morality,3. Morality,3. Morality
Public urged anew to get COVID-19 jabs as wastage nears 50 million,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
Agri-Smuggling Court to be a Tax Appeals Court division –Tolentino,5. Constitutionality and Jurisprudence,6. Policy Prescription and Evaluation,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
DOH asks private sector not to procure bivalent COVID-19 jabs yet to avoid wastage,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
Villanueva puzzled by Padilla’s disclosure of letters asking Senate leaders tackle Cha-cha issue with House,13. Political,13. Political,13. Political,13. Political
"The Department of Health (DOH) on Tuesday recorded 77 new COVID-19 infections, while the active tally dipped to 9,225.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Three former director-generals of the Philippine Drug Enforcement Agency (PDEA) have refuted the claim that some of their agents were rewarding their informants with 30% of the seized illegal drugs from successful operations.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"The Senate Blue  is still waiting for more documents from the Sugar Regulatory Administration (SRA) before it launches the probe into the alleged government-sponsored smuggling of sugar, Senator Francis Tolentino said Wednesday.","7. Law and Order, Crime and Justice",6. Policy Prescription and Evaluation,13. Political,False
Enrile wants ICC arrested 'if they will come here',13. Political,13. Political,"7. Law and Order, Crime and Justice",13. Political
TOKYO — Transportation Secretary Jaime Bautista on Friday said the Department of Transportation (DOTr) and Japan International Cooperation Agency (JICA) are in planning to put up more underground railway systems in Metro Manila which would extend all the way to Cavite.,2. Capacity and Resources,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
The Department of Social Welfare and Development on Saturday distributed assistance to families affected by the oil spill from the sunken motor tanker MT Princess Empress in Oriental Mindoro.,10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
The Bureau of Corrections (BuCor) on Thursday released 580 persons deprived of liberty (PDLs) from various prisons and penal farms as government efforts continue to decongest the country's jails.,6. Policy Prescription and Evaluation,10. Quality of Life,2. Capacity and Resources,False
President Ferdinand “Bongbong” Marcos Jr. on Wednesday witnessed  joint littoral live fire exercise of the Philippines and United States armed forces in Zambales as part of their Balikatan Exercise.,13. Political,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"Arnie Teves' 60-day suspension may still be appealed, but only by other lawmakers —Espares","7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
The Commission on Audit (COA) has vowed to pursue digital transformation for the next seven years.,2. Capacity and Resources,1. Economic,15. Other,False
Zubiri echoes need for VFA-like deal in meeting with Japanese lawmakers,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
ICC prosecutors urge dismissal of Philippine appeal to suspend reopened drug war probe,"7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
