Text,Annotation-1,Annotation-2,Annotation-3,Majority-Frame
"MANILA, Philippines – In the first nine months of 2021, Energy Secretary Alfonso Cusi and then-Department of Public Works and Highways (DPWH) secretary Mark Villar were still the only two members of President Rodrigo Duterte’s Cabinet with a net worth of over P1 billion.",13. Political,13. Political,13. Political,13. Political
"MANILA, Philippines – President Ferdinand Marcos Jr. appointed infectious diseases specialist Eric Tayag, also known as the “dancing doctor,” as new undersecretary of the Department of Health (DOH), Malacañang confirmed on Tuesday, November 15.",6. Policy Prescription and Evaluation,13. Political,2. Capacity and Resources,False
"MANILA, Philippines – Some areas suspended classes for Wednesday, September 21, due to the southwest monsoon or hanging habagat, which is affecting Central Luzon and Southern Luzon.",8. Security and Defense,10. Quality of Life,10. Quality of Life,10. Quality of Life
"MANILA, Philippines – The United States has imposed sanctions on a “diverse array” of more than 40 individuals and entities across nine countries – including Philippine self-styled pastor Apollo Quiboloy, who is on the US’ most wanted list – in connection to corruption and human rights abuses.",5. Constitutionality and Jurisprudence,"7. Law and Order, Crime and Justice",14. External Regulation and Reputation,False
Presidential aspirant Ferdinand “Bongbong” Marcos Jr. has dismissed the conspiracy theory that the Marcos family stored gold that they would eventually share with Filipinos.,13. Political,13. Political,13. Political,13. Political
"MANILA, Philippines – The scheduled increase in the monthly contribution of members of the Philippine Health Insurance Corporation (PhilHealth) will not push through for now following an order from President Ferdinand Marcos Jr.",13. Political,13. Political,9. Health and Safety,13. Political
Comelec employees back chairman Pangarungan’s confirmation bid,13. Political,12. Public Opinion,3. Morality,False
"MANILA, Philippines – US President Joe Biden called presumptive Philippine president Ferdinand Marcos Jr. on Thursday, May 12, to congratulate him on his election win, after preliminary and unofficial results showed the late dictator’s son with 58% of the vote.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"UP, Ateneo rank lower in latest QS world university rankings",13. Political,14. External Regulation and Reputation,15. Other,False
Philippines detects first 2 cases of rapidly spreading Omicron BA.2.75,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"TOKYO, Japan – Japanese Prime Minister Fumio Kishida pledged to provide roughly P250 billion (¥600 billion) in aid to the Philippines over the next two years, with the goal of supporting the Southeast Asian country’s target to reach upper-middle  status by 2025.",1. Economic,2. Capacity and Resources,14. External Regulation and Reputation,False
"Marcos to visit Indonesia, Singapore in September",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Sandiganbayan clears ex-PCGG chief Sabio of malversation,"7. Law and Order, Crime and Justice",5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
"MANILA, Philippines – Ten days before the end of the Duterte presidency, Finance Secretary Carlos Dominguez III withdrew the Philippines from the Extractive Industries Transparency Initiative (EITI), a mechanism that ensured the government discloses key information about extractive industry operations and earnings, and engages with environmental activists",6. Policy Prescription and Evaluation,13. Political,14. External Regulation and Reputation,False
"MANILA, Philippines – Rights groups Campaign Against the Return of the Marcoses and Martial Law, Karapatan, and Desaparecidos held an event  the victims of forced disappearances on Tuesday, August 30 – also the International Day of the Disappeared.",13. Political,12. Public Opinion,12. Public Opinion,12. Public Opinion
"On September 30, the Liberal Party elected nine-term congressman Edcel Lagman as its new president, and former senator Francis “Kiko” Pangilinan as its chairperson",13. Political,13. Political,13. Political,13. Political
"MANILA, Philippines – President Ferdinand Marcos Jr.’s visit to Singapore for the Formula One (F1) Singapore Grand Prix was “semi-official” with some expenses covered by the government, Executive Secretary Lucas Bersamin clarified on Wednesday, October 12.",1. Economic,13. Political,1. Economic,1. Economic
UN rapporteur condemns CA decision upholding Maria Ressa’s cyber libel conviction,13. Political,12. Public Opinion,14. External Regulation and Reputation,False
Alicia dela Rosa-Bala bows out as Civil Service Commission chair,13. Political,13. Political,13. Political,13. Political
"MANILA, Philippines – Pope Francis has appointed a Filipino priest as the Holy See’s new ambassador or apostolic nuncio to Rwanda, the Archdiocese of Manila confirmed on Monday, January 31.",11. Cultural Identity,3. Morality,3. Morality,3. Morality
"Duterte to Putin: Control your soldiers, spare civilians",3. Morality,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA, Philippines – Most Filipino adults vaccinated against the coronavirus said they were willing to get a booster shot against COVID-19, according to a Social Weather Stations (SWS) survey conducted in December 2021, but released on Thursday night, January 27.",9. Health and Safety,9. Health and Safety,12. Public Opinion,9. Health and Safety
WATCH: Immortalizing memories of Martial Law victims through exhibit,11. Cultural Identity,11. Cultural Identity,3. Morality,11. Cultural Identity
"MANILA, Philippines – The Department of Education (DepEd) on Thursday, September 1, said it was planning to hire 10,000 more teachers in 2023.",2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
CIDG busts gang that tried to extort from Senate President Zubiri,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",8. Security and Defense,"7. Law and Order, Crime and Justice"
Minority to check Marcos by scrutinizing every work made by his 20 Senate allies – Pimentel,13. Political,12. Public Opinion,5. Constitutionality and Jurisprudence,False
"MANILA, Philippines – President Rodrigo Duterte has been exposed to a household staff member who tested positive for COVID-19 and is under quarantine, said Malacañang on Thursday, February 3.",9. Health and Safety,13. Political,13. Political,13. Political
LIST: Schools ready to take in Colegio de San Lorenzo students,2. Capacity and Resources,2. Capacity and Resources,10. Quality of Life,2. Capacity and Resources
US issues guidelines on defending Philippines from South China Sea attack,14. External Regulation and Reputation,8. Security and Defense,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA, Philippines – Sexually abused students on Wednesday, September 7, said they want to meet with Vice President and Education Secretary Sara Duterte to discuss how to make schools safe spaces for students.",4. Fairness and Equality,9. Health and Safety,10. Quality of Life,False
"MANILA, Philippines – Commissioner Leah Tanodra-Armamento will lead the embattled Commission on Human Rights (CHR) in the closing months of the tenure of President Rodrigo Duterte, an administration marked by blood and violence.",4. Fairness and Equality,4. Fairness and Equality,13. Political,4. Fairness and Equality
Locsin travels to Poland for repatriation of Filipinos in Ukraine,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"MANILA, Philippines – President Ferdinand Marcos Jr., almost a month after he was inaugurated as the 17th president of the Philippines, is set to hold his first State of the Nation Address (SONA) on Monday, July 25.",13. Political,13. Political,13. Political,13. Political
House OKs bill halting mother tongue-based learning in kindergarten to Grade 3,11. Cultural Identity,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"MANILA, Philippines – A Muntinlupa court has issued a warrant of arrest against former Bureau of Corrections (BuCor) director general Gerald Bantag and corrections official Ricardo Zulueta over the death of Jun Villamor, the alleged middleman who contacted people to allegedly kill broadcaster Percy Lapid.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"MANILA, Philippines – After spending the past six months incarcerated at the Pasay City Jail, two executives of the controversial Pharmally Pharmaceutical Corporation are now free men.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Solved in 5 months? Supreme Court’s new promise is to expedite ‘small’ cases,13. Political,6. Policy Prescription and Evaluation,"7. Law and Order, Crime and Justice",False
"MANILA, Philippines – Partido Lakas ng Masa senatorial bet Luke Espiritu refuted both statements of fellow candidates human-rights-lawyer-turned-government-spokesperson Harry Roque and suspended lawyer Larry Gadon about Martial Law and the Marcoses.",13. Political,13. Political,13. Political,13. Political
