Text,Policy Frame 1,Policy Frame 2,Policy Frame 3,Policy Frame 4,Policy Frame 5,Policy Frame 6,Policy Frame 7,Policy Frame 8,Policy Frame 9,Policy Frame 10,Policy Frame 11,Policy Frame 12,Policy Frame 13,Policy Frame 14,Policy Frame 15,Media_Outlet
"Suspended Negros Oriental Representative Arnolfo “Arnie” Teves Jr. and his sons have filed a consolidated motion seeking to dismiss  of illegal possession of firearms and explosives against them, their camps said Friday.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
"Marcos hopes to work with US in creating virology, vaccine institute",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
"WASHINGTON—President Ferdinand ""Bongbong"" Marcos Jr. on Thursday (Washington time) expressed hope that the Philippines could work with the United States in establishing a virology and vaccine institute in the country.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
Marcos: Bilateral defense guidelines with US ‘responsive’ to present challenges,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
"WASHINGTON — President Ferdinand ""Bongbong"" Marcos Jr. said he believes  the new bilateral defense guidelines would be responsive to the challenges which are being faced by the country.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
Marcos on China’s 'meddling' remark: I think it’s for US,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
"WASHINGTON —President Ferdinand ""Bongbong"" Marcos Jr. said he does not feel alluded to with the latest remark of China opposing any meddling in the South China Sea.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
Marcos: No request from US for Pinoy troops if Taiwan tension rises,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
"WASHINGTON - President Ferdinand “Bongbong” Marcos Jr. responded an outright ""no"" when asked if the United States government requested Filipino soldiers to be deployed to Taiwan once tension escalates.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
"Cope Thunder interoperability exercises between PAF, USAF underway",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
The interoperability exercise between the United States and the Philippine Air Forces known as Cope Thunder is underway.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
"OCTA: NCR weekly COVID-19 positivity rate at 20.4% as of May 3, 2023",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"The seven-day COVID-19 positivity rate in Metro Manila has gone past 20% as of May 3 , OCTA Research said on Thursday.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
Critics say US using Philippines for its own agenda vs. China,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
"A geopolitics expert, a progressive lawmaker, and members of fishermen's and progressive groups on Thursday weighed in on recent developments in the US-Philippine military alliance, saying that the US is using its military clout and superiority to restrain the growing power of China, and that the Philippines could be dragged into tensions between the two powers.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
PNP’s gun simulator system to help cops shoot better... sans bullets,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
The Philippine National Police has acquired a firearm simulator system which can help the law enforcers improve their marksmanship without the use of bullets.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
China opposes ‘meddling’ in South China Sea amid PH-US defense guidelines,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
"China is opposed to what it called meddling in the South China Sea to harm its territorial sovereignty and maritime rights, a spokesperson for the Chinese foreign affairs ministry said on Thursday.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
BFAR: Looming El Niño may affect fish supply in PH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
The Bureau of Fisheries and Aquatic Resources (BFAR) said the country's fish supply may be affected by the looming El Niño which could result in fish kills.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"Philippines logs 1,190 new COVID-19 cases; active tally at 8,371",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
"The Philippines posted 1,190 new COVID-19 cases on Thursday, as the active tally rose to 8,371.   It was the highest number of new cases in the past three days.   The nationwide COVID-19 tally is now 4,097,525, according to the latest data from the Department of Health.   The active tally went up to 8,371 from 7,565 on Wednesday.   In the past 14 days, the National Capital Region logged the highest number of new cases with 4,172. It was followed by Calabarzon with 2,038, Central Luzon with 583, Western Visayas with 505, and Davao Region with 374.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
China: South China Sea should not be ‘hunting ground’ for foreign forces,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
"BEIJING—China firmly opposes any country citing bilateral treaties to interfere in the South China Sea and undermine China's territorial interests and rights, the foreign ministry said on Thursday.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
VP Sara stresses need for better public health in Philippines,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"Drawing lessons from the COVID-19 pandemic, Vice President Sara Duterte on Thursday underscored the immediate need to strengthen the Philippines’ public health system.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
PNP to deploy more cops in crime-prone barangays,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
The Philippine National Police (PNP) on Thursday said it will prioritize the deployment of personnel in barangays that are identified as prone to crimes.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
PNP to follow possible NAPOLCOM recommendations on resignations of senior officers —Maranan,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
The Philippine National Police (PNP) on Thursday said it will implement the possible  of the National Police Commission (NAPOLCOM) after its review on the courtesy resignations of senior officers.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
Two trafficking victims in Myanmar now back in Philippines — BI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
"Two trafficking victims who were recruited through social media have been rescued and are now back in the country, the Bureau of Immigration (BI) announced Thursday.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
OVP: Japan offering more jobs to Filipinos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
"The Japanese government, along with the Japan International Cooperation Agency (JICA), is offering more jobs to Filipino nurses and skilled workers, the Office of the Vice President said.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
"BuCor requires face masks, antigen tests amid COVID-19 cases",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
Individuals visiting the offices of the Bureau of Corrections (BuCor) and the New Bilibid Prison (NBP) are required to wear face masks and present negative rapid antigen test results.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
DA-BFAR: Mitigating measures in place to ensure enough fish supply amid El Niño threat,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GMA
The Department of Agriculture–Bureau of Fisheries and Aquatic Resources (DA-BFAR) on Thursday said that mitigating measures are in place to ensure enough fish supply as the country braces for the onset of El Niño.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"DOLE: 200,000 first time jobseekers availed of free documentary requirements assistance",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
"Around 200,000 first time job hunters have availed of the government’s program for free pre-employment documentary requirements, an official of the Department of Labor and Employment (DOLE) said.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
"Marcos, US senators tackle defense, economic cooperation, agriculture in Washington meeting",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
PH improves to 132nd place in 2023 Press Freedom Index,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GMA
"The Philippines has climbed 14 spots higher in this year's World Press Freedom Index, placing 132nd out of 180 countries.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
56% of Pinoy SIM owners registered as of March 2023 —SWS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,GMA
"A month before the original deadline, 56% of adult Filipino SIM card owners had registered their SIMs while 44% have yet to do so, according to a Social Weather Survey (SWS).",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GMA
"Philippines, US to expand maritime cooperation but not limited to joint patrols",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
WASHINGTON —The Philippines and the United States will expand cooperation on maritime security through but not limited to joint patrols.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
"Austin to Marcos: We have your back in South China Sea, elsewhere in region",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
"WASHINGTON —United States Secretary of Defense Lloyd Austin made  to President Ferdinand ""Bongbong"" Marcos Jr. that the US would always be ready to defend the Philippines when  to territorial issues in the South China Sea as well as in other regions.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
"Marcos meets Austin, attends full honors ceremony at Pentagon",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
WASHINGTON —President Ferdinand Marcos Jr. met US Secretary of Defense Lloyd Austin at the Pentagon on Wednesday morning.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
COVID-19 positivity rate in NCR climbs to 19.7% —OCTA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"The COVID-19 positivity rate in the National Capital Region (NCR) climbed to 19.7% as of May 2, according to independent monitoring group OCTA Research on Wednesday.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GMA
"PH posts 867 fresh COVID-19 infections; active cases rise to 7,565",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"The Department of Health (DOH) reported 867 fresh COVID-19 infections on Wednesday, pushing active cases in the country to 7,565.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"Bill seeking refund for bad telco, internet service filed in Senate",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
Senator Jinggoy Estrada has filed a bill seeking to require public  entities (PTEs) and internet service providers (ISPs) to refund subscribers if service interruptions have accumulated at least 24 hours in a month.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
Metro Manila’s COVID-19 positivity rate jumps to 18.8% —OCTA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GMA
"The seven-day positivity rate in the National Capital Region (NCR) soared to 18.8% as of May 1, according to independent monitoring group OCTA Research.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GMA
MIAA: Contingencies in place for ‘unadvised’ passengers on May 17 airspace shutdown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
The Manila International Airport Authority (MIAA) has put in place contingency measures for passengers who will still arrive at the Ninoy Aquino International Airport (NAIA) during the six-hour Philippine airspace shutdown on May 17.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
"US, South Korea ink partnership to boost PH’s climate resilience",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
"The United States and South Korea have signed a P111.5 million partnership to boost the capabilities of the cities in the Philippines to manage the impacts of climate change and natural disasters, according to the US Embassy in Manila on Wednesday.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
Zubiri on NAIA mess: Fix airport issues or let foreigners manage,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
"Senate President Juan Miguel Zubiri on Wednesday asked President Ferdinand “Bongbong” Marcos Jr. to issue an ultimatum to the management of the Ninoy Aquino International Airport (NAIA) to fix the problems at the country’s main gateway.   Alternatively, the government can enter into a contract with foreign firms to manage NAIA, the Senate leader said at the Kapihan sa Manila Bay forum.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
Senate committed to pass minimum wage hike bill before sine die adjournment — Zubiri,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"The Senate  to pass a bill that will increase the minimum wage in the country before the sine die adjournment on June 2, Senate President Juan Miguel Zubiri said Wednesday.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
Bryan Co designated as MIAA OIC after GM Chiong placed under preventive suspension,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
"Manila International Airport (MIAAO) Senior Assistant General Manager Bryan Co will take the helm of the agency as officer-in-charge after its chief, Cesar Chiong, was placed under preventive suspension by the Ombudsman.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
NWRB cuts water allocation for irrigation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
"The National Water Resources Board (NWRB) has reduced the water allocation from Angat Dam for irrigation,  suspending it for the rest of the month.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
5 fratmen linked to Salilig hazing filed petition for bail — prosecutors,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
"Five of the accused in the death of Adamson University student John Matthew Salilig have filed their petition for bail, the prosecution panel said Wednesday.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
Marcos: No sector that wasn't touched by PH-US partnership,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
"WASHINGTON — President Ferdinand ""Bongbong"" Marcos Jr. said there is no sector that was not touched by the partnership between the Philippines and the United States.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
"OPAPRU, DSWD to give P100K cash aid to each ex-MILF combatant",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
"The Office of the Presidential Adviser on Peace, Reconciliation and Unity (OPAPRU) and the Department of Social Welfare and Development (DSWD) on Tuesday vowed to provide P100,000 cash assistance to each  Moro Islamic Liberation Front  for their socioeconomic development.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
Flights delayed amid adjustment in Philippine radar system,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
Several domestic and international flights were delayed due to the radar system maintenance work at the Philippine Air Traffic Management Center (ATMC) on Wednesday.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
Panel recommends admin charges vs. 4 senior PNP officials over alleged drug links,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
"The five-man advisory group has  that the courtesy resignations of four ranking police officials be accepted over their alleged involvement in the illegal drug trade, Super Radyo dzBB's Mark Makalalad reported on Wednesday.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GMA
USAID to give $8 million to support global health security in PH,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
"WASHINGTON—The United States Agency for International Development (USAID) will give an additional $8 million, pending congressional notification, to support global health security in the Philippines, the White House said.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
"US working with communities to show value of EDCA sites, says White House",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
"WASHINGTON -  The United States is working closely  in the vicinity of the EDCA sites to showcase the benefits it could provide to residents in the area, a White House fact sheet said.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
US to transfer more assets to AFP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
WASHINGTON — The United States will provide additional assets to the Philippine military in support of the latter's modernization efforts.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
Marcos cites ‘turbulent times’ in PH-US ties but says friendship won,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
"WASHINGTON—President Ferdinand Marcos Jr.  on Monday night (Washington time) said the friendship between the Philippines and the US had prevailed even after what he called ""turbulent"" between the two sides.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
"DOH logs 843 new COVID-19 cases; active tally climbs to 7,037",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
"The Department of Health (DOH) logged 843 fresh COVID-19 cases on Tuesday, while the active tally climbed to 7,037.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
Key security policy document between PH and US to be released Wednesday - diplomat,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
"A crucial security policy document outlining the future of the Philippines-United States alliance will be released in Washington when President Ferdinand Marcos Jr. visits the Pentagon for a meeting with American defense officials on Wednesday, a senior US embassy diplomat said.   Earlier announced in a White House factsheet following a meeting between US President Joe Biden and Marcos on Monday, the Bilateral Defense Guidelines are seen as an upgrade to the Philippines and America’s security ties as they seek to “institutionalize key bilateral priorities, mechanisms, and processes to deepen alliance cooperation and interoperability across land, sea, air, space, and cyberspace.”   “One thing that  out of this visit and is on track to be made public this Wednesday when President Marcos visits the Pentagon is the first ever Bilateral Defense Guidelines between the US and the Philippines,” said Brett Blackshaw, political counselor at the US Embassy, at a forum hosted by Stratbase-ADR Institute on Tuesday.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
State-run PTV’s YouTube account ‘compromised’,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GMA
State-run broadcaster People's Television Network (PTV) on Tuesday afternoon announced that its official YouTube account has been “compromised.”,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GMA
BI cautions public against overseas job misinformation on social media,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
The Bureau of Immigration (BI) on Tuesday cautioned the public against several videos on social media encouraging Filipinos to seek employment abroad while holding a tourist visa.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
"Panganiban, SRA execs required to attend Senate probe into ‘state-sponsored’ sugar smuggling — Tolentino",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
"Agriculture Senior Undersecretary Domingo Panganiban and Sugar Regulatory Administration (SRA) officials are required to participate in the Senate blue  probe into the alleged “state-sponsored” sugar smuggling, Senator Francis Tolentino said Tuesday.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
Tax breaks for IP lawyers eyed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GMA
A bill providing tax breaks to lawyers serving as counsel for indigenous peoples (IP) has been filed in the House of Representatives.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GMA
"Almost 4,000 2022 Bar passers take their oath",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,GMA
"A total of 3,992 2022 Bar passers on Tuesday took their oath at the Philippine International Convention Center with all justices present, including Chief Justice Alexander Gesmundo and Bar exam chair Associate Justice Alfredo Benjamin Caguioa.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GMA
Six-hour PH airspace shutdown set for May 17 —MIAA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
Philippine airspace will be shut down on May 17 to give way for maintenance activities on the country’s air traffic management system to avoid a repeat of the infamous New Year’s Day shutdown.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GMA
COVID-19 daily new average up by 42% —DOH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GMA
"The Department of Health (DOH) reported on Tuesday a 42% increase in the average daily new COVID-19 cases from April 24-30, 2023.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GMA
"Marcos, Biden vow to expand collaboration on renewable energy production",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GMA
"WASHINGTON - President Ferdinand ""Bongbong"" Marcos Jr. and United States President Joe Biden reaffirmed  to undertake urgent action to reduce greenhouse gas emissions as the two  to expand collaboration on renewable energy production.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GMA
